DATE_TIME,PLANT_ID_x,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,PLANT_ID_y,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15 00:00:00,86835021,0.0,0.0,0.0,143581676.0,86835021,528.8706387999998,480.00765539999975,0.0
2020-05-15 00:15:00,86835021,0.0,0.0,0.0,143581676.0,86835021,526.776362,477.9950252000003,0.0
2020-05-15 00:30:00,86835021,0.0,0.0,0.0,143581676.0,86835021,523.6508046000001,474.43841619999995,0.0
2020-05-15 00:45:00,86835021,0.0,0.0,0.0,143581676.0,86835021,521.7687384,469.5778947999998,0.0
2020-05-15 01:00:00,90970022,0.0,0.0,0.0,150761642.0,90970022,541.6735578571427,487.6392981428573,0.0
2020-05-15 01:15:00,86835021,0.0,0.0,0.0,143581676.0,86835021,515.2579361999998,461.3399882,0.0
2020-05-15 01:30:00,86835021,0.0,0.0,0.0,143581676.0,86835021,517.4121511999997,469.41143900000026,0.0
2020-05-15 01:45:00,90970022,0.0,0.0,0.0,150761642.0,90970022,547.2064913333332,509.54022240000023,0.0
2020-05-15 02:00:00,86835021,0.0,0.0,0.0,143581676.0,86835021,523.6755398000003,483.54837300000014,0.0
2020-05-15 02:15:00,86835021,0.0,0.0,0.0,143581676.0,86835021,525.2571996000001,490.2078145999997,0.0
2020-05-15 02:30:00,86835021,0.0,0.0,0.0,143581676.0,86835021,525.1081360000001,496.42864460000015,0.0
2020-05-15 02:45:00,86835021,0.0,0.0,0.0,143581676.0,86835021,524.8534101999999,504.8292018000002,0.0
2020-05-15 03:00:00,86835021,0.0,0.0,0.0,143581676.0,86835021,525.3424980000001,512.0668469999997,0.0
2020-05-15 03:15:00,86835021,0.0,0.0,0.0,143581676.0,86835021,524.6895206,511.3816624,0.0
2020-05-15 03:30:00,86835021,0.0,0.0,0.0,143581676.0,86835021,523.6923706,505.2662271999999,0.0
2020-05-15 03:45:00,86835021,0.0,0.0,0.0,143581676.0,86835021,522.4610901999998,497.90567680000004,0.0
2020-05-15 04:00:00,86835021,0.0,0.0,0.0,143581676.0,86835021,518.2569461999999,474.38877219999995,0.0
2020-05-15 04:15:00,90970022,0.0,0.0,0.0,150761642.0,90970022,535.7424775999999,479.24013573333303,0.0
2020-05-15 04:30:00,90970022,0.0,0.0,0.0,150761642.0,90970022,529.3776884000001,480.7555485333332,0.0
2020-05-15 04:45:00,90970022,0.0,0.0,0.0,150761642.0,90970022,528.2909324000002,490.7389299999999,0.0
2020-05-15 05:00:00,90970022,0.0,0.0,0.0,150761642.0,90970022,531.8963276,496.1419862666665,0.0
2020-05-15 05:15:00,86835021,0.0,0.0,0.0,143581676.0,86835021,510.40264800000006,482.56933350000014,0.0
2020-05-15 05:30:00,86835021,0.0,0.0,0.0,143581676.0,86835021,510.9032725999998,492.49998980000026,0.0
2020-05-15 05:45:00,86835021,0.0,0.0,0.0,143581676.0,86835021,510.0734337999998,485.03053059999974,0.018117146068
2020-05-15 06:00:00,86835021,942.14880953,90.929166668,0.0,143581676.0,86835021,505.85736740000016,466.34188860000006,0.12362610091999998
2020-05-15 06:15:00,86835021,6142.1011903,593.33869048,61.261904762,143581737.78599998,86835021,504.2443405999998,469.42263199999985,0.46791375680000014
2020-05-15 06:30:00,90970022,15271.1547618,1480.1946428600002,324.529761903,150761965.28,90970022,527.4880878666667,503.652204,1.0870139250666664
